0
Ageatdiagnosis
ECOG_Performance
Smoking_PY
Drinking
HPVp16status
Chemotherapy
original_shape_Maximum2DDiameterRow
wavelet-HLH_firstorder_Median
wavelet-HLH_firstorder_Skewness
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized
wavelet-LLL_firstorder_Median
exponential_firstorder_Kurtosis
exponential_firstorder_Mean
exponential_firstorder_Uniformity
gradient_gldm_DependenceNonUniformityNormalized
lbp-3D-m1_glszm_GrayLevelNonUniformity
lbp-3D-m1_glszm_SizeZoneNonUniformityNormalized
lbp-3D-m2_glszm_GrayLevelNonUniformity
lbp-3D-m2_glszm_SizeZoneNonUniformityNormalized
lbp-3D-k_glszm_SmallAreaLowGrayLevelEmphasis
lbp-3D-k_gldm_LargeDependenceHighGrayLevelEmphasis
square_gldm_LargeDependenceHighGrayLevelEmphasis
squareroot_ngtdm_Busyness
