0
Ageatdiagnosis
ECOG_Performance
Smoking_PY
Drinking
HPVp16status
Chemotherapy
original_shape_Maximum2DDiameterRow
original_shape_Maximum2DDiameterSlice
original_glrlm_GrayLevelNonUniformity
wavelet-HLL_glszm_SmallAreaEmphasis
wavelet-HLH_firstorder_Median
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized
wavelet-LLL_firstorder_Median
wavelet-LLL_glrlm_GrayLevelNonUniformity
exponential_firstorder_Mean
lbp-3D-m1_glszm_GrayLevelNonUniformity
lbp-3D-m1_glszm_SizeZoneNonUniformityNormalized
lbp-3D-m1_glszm_ZoneEntropy
lbp-3D-m2_glszm_GrayLevelNonUniformity
lbp-3D-k_glszm_SmallAreaLowGrayLevelEmphasis
lbp-3D-k_gldm_LargeDependenceHighGrayLevelEmphasis
logarithm_glszm_GrayLevelNonUniformity
square_gldm_LargeDependenceHighGrayLevelEmphasis
squareroot_glrlm_GrayLevelNonUniformity
squareroot_ngtdm_Busyness
